Credit_Status,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Credit_History
Y,0,0,1,0,584900,0,15000000,1
N,1,1,1,0,458300,150800,12800000,1
Y,1,0,1,1,300000,0,6600000,1
Y,1,0,0,0,258300,235800,12000000,1
Y,0,0,1,0,600000,0,14100000,1
Y,1,1,1,1,541700,419600,26700000,1
Y,1,0,0,0,233300,151600,9500000,1
N,1,1,1,0,303600,250400,15800000,0
Y,1,1,1,0,400600,152600,16800000,1
N,1,1,1,0,1284100,1096800,34900000,1
Y,1,1,1,0,320000,70000,7000000,1
Y,1,1,1,0,250000,184000,10900000,1
Y,1,1,1,0,307300,810600,20000000,1
N,0,0,1,0,185300,284000,11400000,1
Y,1,1,1,0,129900,108600,1700000,1
Y,0,0,1,0,495000,0,12500000,1
Y,0,1,0,0,359600,0,10000000,0
N,0,0,1,0,351000,0,7600000,0
N,1,0,0,0,488700,0,13300000,1
Y,1,0,1,0,260000,350000,11500000,1
N,1,0,0,0,766000,0,10400000,0
Y,1,1,1,0,595500,562500,31500000,1
N,1,0,0,0,260000,191100,11600000,0
N,1,1,0,0,336500,191700,11200000,0
N,1,1,1,0,371700,292500,15100000,0
Y,1,0,1,1,956000,0,19100000,1
Y,1,0,1,0,279900,225300,12200000,1
Y,1,1,0,0,422600,104000,11000000,1
N,0,0,0,0,144200,0,3500000,1
Y,0,1,1,0,375000,208300,12000000,1
N,1,1,1,0,416600,336900,20100000,0
N,0,0,1,0,316700,0,7400000,1
N,0,1,1,1,469200,0,10600000,1
Y,1,0,1,0,350000,166700,11400000,1
N,0,1,1,0,1250000,300000,32000000,1
Y,1,0,1,0,227500,206700,0,1
N,1,0,1,0,182800,133000,10000000,0
Y,1,0,1,0,366700,145900,14400000,1
Y,0,0,1,0,416600,721000,18400000,1
Y,0,0,0,0,374800,166800,11000000,1
N,0,0,1,0,360000,0,8000000,1
Y,0,0,1,0,180000,121300,4700000,1
Y,1,0,1,0,240000,0,7500000,0
Y,1,0,1,0,394100,233600,13400000,1
Y,1,0,0,1,469500,0,9600000,1
Y,0,0,1,0,341000,0,8800000,1
Y,1,1,1,0,564900,0,4400000,1
Y,1,0,1,0,582100,0,14400000,1
N,1,0,1,0,264500,344000,12000000,0
Y,0,0,1,0,400000,227500,14400000,1
Y,1,0,0,0,192800,164400,10000000,1
Y,0,0,1,0,308600,0,12000000,1
N,0,0,1,0,423000,0,11200000,1
N,1,1,1,0,461600,0,13400000,1
N,1,1,1,1,1150000,0,28600000,0
Y,1,1,1,0,270800,116700,9700000,1
Y,1,0,1,0,213200,159100,9600000,1
N,1,0,1,0,336600,220000,13500000,1
Y,1,1,1,0,808000,225000,18000000,1
Y,1,1,0,0,335700,285900,14400000,1
Y,1,0,1,0,250000,379600,12000000,1
Y,1,1,1,0,302900,0,9900000,1
N,1,0,0,1,260900,344900,16500000,0
N,1,1,1,0,494500,0,0,0
N,0,0,1,0,416600,0,11600000,0
N,1,0,1,0,572600,459500,25800000,1
N,0,0,0,0,320000,225400,12600000,0
Y,1,1,1,0,1075000,0,31200000,1
Y,1,1,0,1,710000,0,12500000,1
N,0,0,1,0,430000,0,13600000,0
Y,1,0,1,0,320800,306600,17200000,1
Y,1,1,0,1,187500,187500,9700000,1
Y,0,0,1,0,350000,0,8100000,1
N,1,1,0,0,475500,0,9500000,0
Y,1,1,1,1,526600,177400,18700000,1
N,0,0,1,0,375000,0,11300000,1
N,0,0,1,0,375000,475000,17600000,1
N,1,1,1,1,100000,302200,11000000,1
N,1,1,1,0,316700,400000,18000000,0
Y,1,1,0,1,333300,216600,13000000,0
Y,0,0,1,0,384600,0,11100000,1
Y,1,1,1,1,239500,0,0,1
N,1,1,1,0,137800,188100,16700000,1
N,1,0,1,0,600000,225000,26500000,0
Y,1,1,1,0,398800,0,5000000,1
Y,0,0,1,0,236600,253100,13600000,1
Y,1,1,0,0,333300,200000,9900000,0
Y,1,0,1,0,250000,211800,10400000,1
Y,0,0,1,0,856600,0,21000000,1
Y,1,0,1,0,569500,416700,17500000,1
Y,1,0,1,0,295800,290000,13100000,1
Y,1,1,1,0,625000,565400,18800000,1
Y,1,1,0,0,327300,182000,8100000,1
Y,0,0,1,0,413300,0,12200000,1
Y,0,0,0,0,362000,0,2500000,1
N,0,0,1,0,678200,0,0,0
Y,1,0,1,0,248400,230200,13700000,1
Y,1,0,1,0,197700,99700,5000000,1
Y,1,0,0,0,418800,0,11500000,1
Y,1,0,1,0,175900,354100,13100000,1
Y,1,1,0,0,428800,326300,13300000,1
Y,0,0,1,0,484300,380600,15100000,1
Y,1,0,1,0,1365000,0,0,1
Y,1,0,1,0,465200,358300,0,1
Y,0,0,1,0,381600,75400,16000000,1
Y,1,1,1,0,305200,103000,10000000,1
Y,1,1,1,0,1141700,112600,22500000,1
N,0,0,0,0,733300,0,12000000,1
N,1,1,1,0,380000,360000,21600000,0
Y,1,1,0,0,207100,75400,9400000,1
Y,0,0,1,0,531600,0,13600000,1
Y,1,0,1,0,292900,233300,13900000,1
N,1,0,0,0,357200,411400,15200000,0
Y,0,1,1,1,745100,0,0,1
Y,0,0,1,0,505000,0,11800000,1
Y,1,1,1,0,1458300,0,18500000,1
Y,1,0,1,0,316700,228300,15400000,1
Y,1,1,1,0,221400,139800,8500000,0
N,1,0,1,0,556800,214200,17500000,1
Y,0,0,1,0,1040800,0,25900000,1
Y,1,0,1,0,566700,266700,18000000,1
Y,0,0,1,0,416600,0,4400000,1
Y,0,0,1,0,213700,898000,13700000,0
Y,1,1,1,0,295700,0,8100000,1
Y,1,0,0,0,430000,201400,19400000,1
Y,0,0,1,0,369200,0,9300000,0
Y,1,1,1,0,2380300,0,37000000,1
Y,0,0,1,0,386500,164000,0,1
N,1,1,1,1,1051300,385000,16000000,0
N,1,0,1,0,608000,256900,18200000,0
Y,0,0,1,1,2016600,0,65000000,0
Y,0,0,1,0,201400,192900,7400000,1
Y,0,0,1,0,271800,0,7000000,1
Y,1,0,1,1,345900,0,2500000,1
Y,0,0,1,0,489500,0,10200000,1
N,1,1,1,0,400000,775000,29000000,1
N,1,0,1,0,458300,0,8400000,1
Y,1,1,1,1,331600,350000,8800000,1
N,0,0,1,0,1499900,0,24200000,0
N,1,1,0,0,420000,143000,12900000,1
N,1,1,1,0,504200,208300,18500000,1
Y,0,0,1,0,541700,0,16800000,1
Y,0,0,1,1,695000,0,17500000,1
Y,1,0,1,0,269800,203400,12200000,1
Y,1,1,1,0,1175700,0,18700000,1
Y,1,0,1,0,233000,448600,10000000,1
Y,1,1,1,0,1486600,0,7000000,1
Y,1,1,1,0,153800,142500,3000000,1
N,0,0,1,0,1000000,166600,22500000,1
Y,1,0,1,0,486000,83000,12500000,1
N,0,0,1,0,627700,0,11800000,0
Y,1,0,1,1,257700,375000,15200000,1
N,0,0,1,0,916600,0,24400000,1
N,1,1,0,0,228100,0,11300000,1
Y,0,0,1,0,325400,0,5000000,1
Y,1,1,1,0,3999900,0,60000000,0
Y,1,1,1,0,600000,0,16000000,0
Y,1,1,1,0,953800,0,18700000,1
Y,0,0,1,0,298000,208300,12000000,1
Y,1,0,1,0,458300,562500,25500000,1
Y,1,0,0,0,186300,104100,9800000,1
N,1,0,1,0,793300,0,27500000,1
N,1,1,1,0,308900,128000,12100000,0
Y,1,1,1,0,416700,144700,15800000,1
Y,1,0,1,0,932300,0,7500000,1
Y,1,0,1,0,370700,316600,18200000,1
N,1,0,1,0,458300,0,11200000,1
Y,1,0,1,0,243900,333300,12900000,1
N,0,0,1,0,223700,0,6300000,0
Y,1,1,1,0,800000,0,20000000,1
Y,1,0,0,0,182000,176900,9500000,1
Y,1,1,1,0,5176300,0,70000000,1
N,1,1,0,0,352200,0,8100000,1
Y,1,0,1,0,570800,562500,18700000,1
N,1,0,0,1,434400,73600,8700000,1
Y,1,0,1,0,349700,196400,11600000,1
Y,1,1,1,0,204500,161900,10100000,1
N,1,1,1,0,551600,1130000,49500000,0
Y,1,1,1,0,375000,0,11600000,1
N,0,0,0,0,233300,145100,10200000,0
N,1,1,1,0,640000,725000,18000000,0
N,0,0,1,0,191600,506300,6700000,0
Y,1,0,1,0,460000,0,7300000,1
N,1,1,1,0,3384600,0,26000000,1
Y,1,0,1,0,362500,0,10800000,1
Y,1,0,1,1,3914700,475000,12000000,1
N,1,1,1,1,217800,0,6600000,0
Y,1,0,1,0,238300,213800,5800000,0
Y,1,0,1,1,67400,529600,16800000,1
Y,1,0,1,0,932800,0,18800000,1
Y,0,0,0,0,488500,0,4800000,1
N,0,0,1,0,1200000,0,16400000,1
N,1,0,0,0,603300,0,16000000,1
Y,0,0,1,0,385800,0,7600000,1
Y,0,0,1,0,419100,0,12000000,1
N,1,1,1,0,312500,258300,17000000,1
Y,0,0,1,0,833300,375000,18700000,1
Y,0,0,0,0,190700,236500,12000000,1
Y,1,0,1,0,341600,281600,11300000,0
N,0,0,1,1,1100000,0,8300000,1
Y,1,1,0,0,260000,250000,9000000,1
Y,0,1,1,0,492300,0,16600000,0
N,1,1,0,0,399200,0,0,1
Y,1,1,0,0,350000,108300,13500000,1
Y,1,1,0,0,391700,0,12400000,1
Y,0,0,0,0,440800,0,12000000,1
Y,0,0,1,0,324400,0,8000000,1
Y,0,0,0,0,397500,253100,5500000,1
Y,0,0,1,0,247900,0,5900000,1
N,0,0,1,0,341800,0,12700000,1
N,0,0,1,0,1000000,0,21400000,1
N,1,1,1,0,343000,125000,12800000,0
Y,1,1,1,1,778700,0,24000000,1
Y,1,1,0,1,570300,0,13000000,1
Y,1,0,1,0,317300,302100,13700000,1
Y,1,1,0,0,385000,98300,10000000,1
N,1,0,1,0,15000,180000,13500000,1
Y,1,0,1,0,372700,177500,13100000,1
N,1,1,1,0,500000,0,7200000,0
Y,1,1,1,0,428300,238300,12700000,0
N,1,0,1,0,222100,0,6000000,0
Y,1,1,1,0,400900,171700,11600000,1
Y,0,0,1,0,297100,279100,14400000,1
Y,1,0,1,0,757800,101000,17500000,1
Y,1,0,1,0,625000,0,12800000,1
N,1,0,1,0,325000,0,17000000,1
N,1,0,0,1,473500,0,13800000,1
Y,1,1,1,0,625000,169500,21000000,1
Y,0,0,1,0,475800,0,15800000,1
Y,0,0,1,1,640000,0,20000000,1
Y,1,1,1,0,249100,205400,10400000,1
Y,1,0,1,0,371600,0,4200000,1
Y,0,0,0,0,318900,259800,12000000,1
Y,0,0,1,0,833300,0,28000000,1
Y,1,1,1,0,315500,177900,14000000,1
Y,1,1,1,0,550000,126000,17000000,1
N,1,0,1,0,574600,0,25500000,0
Y,0,0,1,1,346300,0,12200000,0
Y,0,1,1,0,381200,0,11200000,1
Y,1,1,1,0,331500,0,9600000,1
Y,1,1,1,0,581900,500000,12000000,1
N,1,1,0,0,251000,198300,14000000,1
Y,0,0,1,0,296500,570100,15500000,1
Y,1,1,1,1,625000,130000,10800000,1
Y,1,0,0,0,340600,441700,12300000,1
N,0,0,1,1,605000,433300,12000000,1
Y,1,1,1,0,970300,0,11200000,1
Y,1,1,0,0,660800,0,13700000,1
Y,1,1,1,0,288200,184300,12300000,1
Y,1,0,1,0,180900,186800,9000000,1
N,1,0,0,0,166800,389000,20100000,0
N,0,1,1,0,342700,0,13800000,1
Y,0,0,0,1,258300,216700,10400000,1
Y,1,1,0,0,266100,710100,27900000,1
N,0,0,1,1,1625000,0,19200000,0
Y,0,1,1,0,308300,0,25500000,1
N,0,0,0,0,604500,0,11500000,0
N,1,1,1,0,525000,0,9400000,1
N,1,0,1,0,1468300,210000,30400000,1
N,1,1,0,0,493100,0,12800000,0
Y,1,1,1,0,608300,425000,33000000,0
Y,0,0,1,0,206000,220900,13400000,1
N,0,1,1,0,348100,0,15500000,1
Y,0,0,1,0,720000,0,12000000,1
Y,0,0,1,1,516600,0,12800000,1
Y,0,0,1,0,409500,344700,15100000,1
Y,1,1,1,0,470800,138700,15000000,1
Y,1,1,1,0,433300,181100,16000000,0
N,0,0,1,0,341800,0,13500000,1
Y,0,1,1,0,287600,156000,9000000,1
Y,0,0,1,0,323700,0,3000000,1
Y,1,0,1,0,1114600,0,13600000,1
Y,0,0,1,0,283300,185700,12600000,1
Y,1,0,1,0,262000,222300,15000000,1
Y,1,1,1,0,390000,0,9000000,1
Y,1,1,1,0,275000,184200,11500000,1
Y,1,0,1,0,399300,327400,20700000,1
Y,1,0,1,0,310300,130000,8000000,1
Y,1,0,1,0,1458300,0,43600000,1
Y,1,0,0,0,410000,0,12400000,0
N,0,1,0,1,405300,242600,15800000,0
Y,1,0,1,0,392700,80000,11200000,1
Y,1,1,1,0,230100,98579.99878,7800000,1
Y,0,0,1,0,181100,166600,5400000,1
N,1,0,1,0,2066700,0,0,1
Y,0,0,1,0,315800,305300,8900000,1
N,0,0,1,1,260000,171700,9900000,1
Y,1,0,1,0,370400,200000,12000000,1
Y,0,0,1,0,412400,0,11500000,1
Y,0,0,1,0,950800,0,18700000,1
Y,1,0,1,0,307500,241600,13900000,1
N,1,1,1,0,440000,0,12700000,0
Y,1,1,1,0,315300,156000,13400000,1
N,0,0,1,0,541700,0,14300000,0
Y,1,0,1,0,238300,333400,17200000,1
Y,1,1,1,0,441600,125000,11000000,1
Y,1,1,1,0,687500,0,20000000,1
Y,1,1,1,0,466600,0,13500000,1
N,0,0,1,0,500000,254100,15100000,1
N,1,1,1,0,201400,292500,11300000,1
N,1,0,0,0,180000,293400,9300000,0
Y,1,0,0,0,287500,175000,10500000,1
Y,0,0,1,0,500000,0,13200000,1
Y,1,1,1,0,162500,180300,9600000,1
Y,0,0,1,0,400000,250000,14000000,1
N,0,0,0,0,200000,0,0,1
Y,0,0,1,0,376200,166600,13500000,1
N,0,0,1,0,240000,186300,10400000,0
N,0,0,1,0,2023300,0,48000000,1
Y,1,1,0,0,766700,0,18500000,0
Y,0,0,1,0,291700,0,8400000,1
Y,0,0,0,0,292700,240500,11100000,1
Y,0,0,1,0,250700,0,5600000,1
Y,1,1,1,1,574600,0,14400000,0
N,1,0,1,0,247300,184300,15900000,1
Y,1,1,0,0,339900,164000,11100000,1
Y,1,1,1,0,371700,0,12000000,1
Y,1,0,1,0,205800,213400,8800000,0
Y,0,1,1,0,354100,0,11200000,0
N,1,1,1,1,1000000,0,15500000,1
Y,1,0,1,0,240000,216700,11500000,1
Y,1,1,1,0,434200,18900,12400000,1
Y,1,1,0,0,360100,159000,0,1
Y,0,0,1,0,316600,298500,13200000,0
Y,1,1,1,0,1500000,0,30000000,1
N,1,1,1,1,866600,498300,37600000,0
Y,0,0,1,0,491700,0,13000000,0
Y,1,0,1,1,581800,216000,18400000,1
N,1,0,1,0,433300,245100,11000000,1
Y,0,0,1,0,250000,0,6700000,1
Y,0,1,1,0,438400,179300,11700000,1
Y,0,0,1,0,293500,0,9800000,1
Y,0,0,1,0,283300,0,7100000,1
Y,1,0,1,0,6333700,0,49000000,1
Y,1,1,1,1,983300,183300,18200000,1
Y,1,0,1,1,550300,449000,7000000,1
Y,1,1,1,0,525000,68800,16000000,1
Y,1,1,1,1,250000,460000,17600000,1
N,0,1,0,0,183000,0,0,0
Y,0,0,1,0,416000,0,7100000,1
N,1,1,0,0,264700,158700,17300000,1
N,0,0,1,0,237800,0,4600000,1
Y,1,1,0,0,455400,122900,15800000,1
Y,1,1,0,0,317300,0,7400000,1
Y,1,1,1,0,258300,233000,12500000,1
Y,1,0,1,0,249900,245800,16000000,1
N,1,0,0,0,352300,323000,15200000,0
Y,1,1,0,0,308300,216800,12600000,1
Y,1,0,1,0,633300,458300,25900000,0
